2	N	49
2	J	50
1	W	50
2	R	50
2	W	50
2	J	50
2	J	50
2	J	51
2	J	58
2	J	65
3	N	68
3	J	69
2	E	74
1	J	74
1	R	74
4	N	74
4	J	74
1	W	75
3	R	75
3	J	75
3	J	76
3	J	76
4	R	76
4	J	85
4	J	85
3	R	85
3	W	90
4	R	90
4	J	94
4	W	94
4	J	94
4	J	94
4	R	94
4	W	94
4	J	94
4	J	94
4	R	94
4	W	100
0	R	100
4	J	100
4	R	100
4	J	100
4	W	102
0	R	102
4	J	102
4	R	102
4	W	103
0	R	103
4	J	103
4	R	103
4	J	104
4	J	105
5	N	119
5	J	120
4	W	121
5	R	121
4	J	123
5	E	124
4	R	124
4	W	124
4	J	124
4	J	126
4	J	127
4	W	130
0	R	130
3	J	3088
3	R	3088
3	W	3091
0	R	3091
4	J	3416
4	R	3416
4	W	3416
4	J	3416
4	W	3417
0	R	3417
4	J	3540
4	R	3540
4	W	3540
0	R	3540
4	J	3620
4	R	3620
4	W	3620
0	R	3620
4	J	3720
4	R	3720
4	W	3720
0	R	3720
4	J	3940
4	R	3940
4	W	3940
0	R	3940
4	J	4047
4	R	4047
4	W	4047
0	R	4047
4	J	4495
4	R	4496
4	W	4496
0	R	4496
4	J	4595
4	R	4595
4	W	4595
0	R	4595
4	J	4660
4	R	4660
4	W	4660
0	R	4660
4	J	4758
4	R	4758
4	W	4758
0	R	4758
4	J	4857
4	R	4857
4	W	4857
0	R	4857
4	J	5042
4	R	5042
4	W	5042
0	R	5042
4	J	5126
4	R	5126
4	W	5126
0	R	5126
4	J	5192
4	R	5192
4	W	5192
0	R	5193
4	J	5396
4	R	5396
4	W	5396
0	R	5396
4	J	5513
4	R	5513
4	W	5513
0	R	5513
4	J	5608
4	R	5608
4	W	5608
0	R	5608
4	J	5713
4	R	5713
4	W	5713
0	R	5713
4	J	5902
4	R	5902
6	N	5903
6	J	5904
4	W	5904
6	R	5904
6	W	5905
0	R	5905
6	J	5905
